Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1488254160,2/27/2017 8:56 PM,  -,  -,N/A%,29.67 in,  -,SW,11.5 mph,  -,N/A,	 ,Clear
1488257760,2/27/2017 9:56 PM,  -,  -,N/A%,29.66 in,  -,West,9.2 mph,  -,N/A,	 ,Clear
1488261360,2/27/2017 10:56 PM,1.0 °F,1.0 °F,100%,29.99 in,  -,West,10.4 mph,  -,N/A,	 ,Clear
1488264960,2/27/2017 11:56 PM,1.0 °F,  -,N/A%,30.00 in,  -,SW,11.5 mph,  -,N/A,	 ,Clear
1488006600,2/25/2017 12:10 AM,  -,  -,N/A%,		-,  -,Calm,Calm,  -,N/A,	 ,Overcast
1488009360,2/25/2017 12:56 AM,  -,  -,N/A%,30.00 in,  -,Calm,Calm,  -,0.00 in,Rain,Light Rain
1488012960,2/25/2017 1:56 AM,  -,  -,N/A%,29.99 in,  -,SSW,5.8 mph,  -,0.00 in,Rain,Light Rain
1488013920,2/25/2017 2:12 AM,  -,  -,N/A%,29.99 in,  -,SW,3.5 mph,  -,0.00 in,Rain,Light Rain
1488016560,2/25/2017 2:56 AM,  -,  -,N/A%,		-,  -,WSW,3.5 mph,  -,0.00 in,Rain,Light Rain
1488020160,2/25/2017 3:56 AM,  -,  -,N/A%,		-,  -,NNE,4.6 mph,  -,0.00 in,	 ,Mostly Cloudy
1488022140,2/25/2017 4:29 AM,  -,  -,N/A%,		-,  -,Calm,Calm,  -,0.00 in,Rain,Light Rain
1488023760,2/25/2017 4:56 AM,  -,  -,N/A%,		-,  -,North,3.5 mph,  -,0.00 in,	 ,Overcast
1488027360,2/25/2017 5:56 AM,  -,  -,N/A%,		-,  -,West,6.9 mph,  -,0.00 in,	 ,Overcast
1488029880,2/25/2017 6:38 AM,  -,  -,N/A%,		-,  -,NNW,3.5 mph,  -,N/A,	 ,Overcast
